symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h,rsi_mean,rsi_std,rsi_min,rsi_max,rsi_range,rsi_divergence_5m_4h,rsi_divergence_15m_1h,rsi_divergence_1m_1h,n_tf_oversold,n_tf_overbought,oi_rising,oi_spike,price_momentum_24h,price_pct_change,price_rolling_std_6,oi_pct_change,rsi_5m_slope,target_time,future_scan_time,future_price,future_return_pct,label
0GUSDT,2026-04-27 17:51:38.063974+00:00,kucoin,0.5431,0.5431,-0.006387,12062544,6535245.08832,-2.32,0.63047,0.51759,5132103.07396,43.78,50.48,58.58,48.24,41.03,43.71,6562364.428,-0.413,47.63666666666666,6.358391830224577,41.03,58.58,17.549999999999997,9.449999999999996,10.339999999999996,-4.460000000000001,0,0,0,0,-2.32,,,,,2026-04-27 18:51:38.063974+00:00,,,,
1000BONKUSDT,2026-04-27 07:58:58.902124+00:00,kucoin,0.0061937,0.0061937,-4.2e-05,715616,4424653.728,-1.88,0.006498,0.006165,5122490.714,35.4,36.41,29.46,35.53,44.28,51.95,4565137.671,-3.077,38.83833333333334,7.976774828630096,29.46,51.95,22.490000000000002,-7.8700000000000045,-6.07,-0.13000000000000256,1,0,0,1,-1.88,,,,,2026-04-27 08:58:58.902124+00:00,,,,
1000BONKUSDT,2026-04-27 13:09:33.967181+00:00,kucoin,0.006235,0.006235,9.7e-05,860246,5369655.532000001,-1.37,0.006498,0.006165,5165764.364,53.84,52.12,48.07,44.4,47.5,53.38,5354774.604,0.278,49.885,3.7926231028142,44.4,53.84,9.440000000000005,4.619999999999997,3.6700000000000017,9.440000000000005,0,0,1,0,-1.37,0.6668065937969203,,20.21055985332916,15.71,2026-04-27 14:09:33.967181+00:00,,,,
AAVEUSDT,2026-04-26 05:10:23.261140+00:00,kucoin,93.96,93.96,1.5e-05,11744854,11026068.9352,-0.38,96.33,93.06,7577577.8258,70.55,66.96,56.01,47.1,48.39,44.76,11118392.4048,-0.83,55.62833333333333,10.903715727524569,44.76,70.55,25.79,18.569999999999993,8.909999999999997,23.449999999999996,0,1,0,0,-0.38,,,,,2026-04-26 06:10:23.261140+00:00,2026-04-26 06:31:23.857015+00:00,94.76,0.8514261387824728,1.0
AAVEUSDT,2026-04-26 06:31:23.857015+00:00,kucoin,94.76,94.76,4.1e-05,11700431,11087328.4156,0.24,96.33,93.06,7665096.4358,53.62,61.5,63.56,54.95,51.51,45.72,10986761.5228,0.915,55.14333333333334,6.566669373941914,45.72,63.56,17.840000000000003,9.990000000000002,8.61,-1.3300000000000054,0,0,1,0,0.24,0.8514261387824629,,-0.3782337353874343,-5.459999999999994,2026-04-26 07:31:23.857015+00:00,,,,
AAVEUSDT,2026-04-26 09:40:11.454026+00:00,kucoin,95.42,95.42,4.5e-05,11828145,11295878.475,0.2299999999999999,96.33,93.06,7613216.2168,65.96,71.9,68.04,61.49,54.22,46.58,11197573.64,0.878,61.365,9.447949512989581,46.58,71.9,25.320000000000007,17.680000000000007,6.550000000000004,4.469999999999992,0,1,1,0,0.2299999999999999,0.6964964119881678,0.10955186042362519,1.091532440129761,10.400000000000006,2026-04-26 10:40:11.454026+00:00,,,,
AAVEUSDT,2026-04-26 11:58:52.180560+00:00,kucoin,95.84,95.84,6.5e-05,11520143,11035144.9797,0.29,96.33,93.06,7126400.6298,47.91,58.96,68.23,64.14,55.3,46.96,11080017.8052,-0.405,56.916666666666664,8.56985569695702,46.96,68.23,21.270000000000003,3.6600000000000037,4.090000000000003,-16.230000000000004,0,0,0,0,0.29,0.4401592957451239,0.2077066655928716,-2.603975517716428,-12.940000000000005,2026-04-26 12:58:52.180560+00:00,,,,
AAVEUSDT,2026-04-26 14:32:36.785702+00:00,kucoin,95.48,95.48,6.4e-05,12148373,11604125.8896,-0.2799999999999999,96.33,93.06,6922372.6862,68.98,54.9,55.72,58.62,54.16,46.64,11535417.3984,0.596,56.50333333333333,7.295318133341869,46.64,68.98,22.340000000000003,0.740000000000002,-2.8999999999999986,10.360000000000007,0,0,1,0,-0.2799999999999999,-0.3756260434056746,0.546157920563887,5.453317723573403,-4.060000000000002,2026-04-26 15:32:36.785702+00:00,,,,
AAVEUSDT,2026-04-26 17:06:39.905808+00:00,kucoin,95.37,95.37,3.4e-05,11851539,11333626.7457,0.8200000000000001,96.23,93.06,5594696.9596,48.84,46.75,52.44,57.82,54.35,46.77,11541936.6184,-1.805,51.16166666666666,4.478229188715854,46.75,57.82,11.07,-7.600000000000001,-5.380000000000003,-8.979999999999997,0,0,0,0,0.8200000000000001,-0.11520737327188613,0.526733096206103,-2.4434053844082704,-8.149999999999999,2026-04-26 18:06:39.905808+00:00,,,,
AAVEUSDT,2026-04-26 19:52:37.815153+00:00,kucoin,97.17,97.17,-6.3e-05,12134975,11784274.2225,3.17,97.74,93.06,5948540.3868,46.97,57.47,65.35,68.38,59.91,48.46,11748302.7363,0.306,57.75666666666666,8.694977094085218,46.97,68.38,21.409999999999997,-2.4399999999999977,-3.030000000000001,-21.409999999999997,0,0,1,0,3.17,1.8873859704309437,0.8013832692893885,2.391554379562022,10.719999999999999,2026-04-26 20:52:37.815153+00:00,,,,
AAVEUSDT,2026-04-26 21:56:27.465537+00:00,kucoin,96.41,96.41,-9.8e-05,12224763,11820123.3447,1.95,97.74,93.06,6157932.2252,63.93,51.25,53.83,63.27,58.25,48.01,11764550.7672,0.472,56.423333333333325,6.493635858797957,48.01,63.93,15.920000000000002,-7.0,-9.440000000000005,0.6599999999999966,0,0,1,0,1.95,-0.7821344036225253,0.9482754738623537,0.7399108774430951,-6.219999999999999,2026-04-26 22:56:27.465537+00:00,,,,
