symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h,rsi_mean,rsi_std,rsi_min,rsi_max,rsi_range,rsi_divergence_5m_4h,rsi_divergence_15m_1h,rsi_divergence_1m_1h,n_tf_oversold,n_tf_overbought,oi_rising,oi_spike,price_momentum_24h,price_pct_change,price_rolling_std_6,oi_pct_change,rsi_5m_slope,cg_funding_oi_weighted_bps,cg_funding_spread_bps,cg_top_ls_ratio,cg_global_ls_ratio,cg_top_minus_global_ls,cg_taker_buy_sell_ratio,cg_liq_pull_up,cg_liq_pull_down,cg_liq_pull_ratio,target_time,future_scan_time,future_price,future_return_pct,label
0GUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.54418,0.54418,-0.001443,13737055.0,7476804.2954,-2.06,0.63047,0.51759,5751231.3472,57.67,53.43,54.4,49.65,42.4,44.29,7350250.48692,1.722,50.30666666666667,5.997935200272396,42.4,57.67,15.270000000000003,11.030000000000001,4.75,8.020000000000003,0,0,1,0,-2.06,,,,,-6.907205286644548,7.165809698366,1.58,,,,3006510.436979623,3006510.4369796226,1.0000000000000002,2026-04-27 22:28:02.383816+00:00,,,,
0GUSDT,2026-04-27 21:36:39.315235+00:00,kucoin,0.54656,0.54656,-0.001489,13757969.0,7519693.11633,-1.36,0.63047,0.51759,5758125.44494,64.28,61.44,58.51,51.4,44.13,45.02,7386303.2544,1.806,54.129999999999995,8.556728346745617,44.13,64.28,20.15,17.309999999999995,7.109999999999999,12.880000000000003,0,0,1,0,-1.36,0.43735528685362457,,0.15224515007037365,8.009999999999998,-6.907205286644548,7.165809698366,1.58,,,,3006510.436979623,3006510.4369796226,1.0000000000000002,2026-04-27 22:36:39.315235+00:00,,,,
0GUSDT,2026-04-28 00:12:26.523922+00:00,kucoin,0.5502,0.5502,-0.001748,13668430.0,7511895.7594,-8.3,0.63047,0.51759,5409164.36158,54.64,56.42,60.84,52.83,45.49,45.63,7535560.124619999,-0.314,52.64166666666667,6.096344533133497,45.49,60.84,15.350000000000001,10.93,8.010000000000005,1.8100000000000023,0,0,0,0,-8.3,0.6659836065573632,0.16166463523379956,-0.6508155382527803,-5.019999999999996,-6.907205286644548,7.165809698366,1.58,,,,3006510.436979623,3006510.4369796226,1.0000000000000002,2026-04-28 01:12:26.523922+00:00,,,,
1000BONKUSDT,2026-04-28 09:12:32.046598+00:00,kucoin,0.0061927,0.0061927,-1.5e-05,755925.0,4682879.7825,-0.8099999999999999,0.006321,0.006089,7043224.406,55.56,53.06,51.52,48.05,46.79,52.11,4659301.9931,0.506,51.181666666666665,3.2486392022917348,46.79,55.56,8.770000000000003,6.270000000000003,3.470000000000006,7.510000000000005,0,0,1,0,-0.8099999999999999,,,,,0.5860521356635265,2.12,,,,,2199322.755070765,2199322.7550707567,1.0000000000000038,2026-04-28 10:12:32.046598+00:00,,,,
1000BONKUSDT,2026-04-28 16:25:28.864080+00:00,kucoin,0.0062324,0.0062324,0.000204,806308.0,5022170.0088,1.43,0.006253,0.006104,10441963.94,57.99,66.21,61.32,55.01,49.23,53.06,4965296.6622,1.145,57.13666666666666,6.069779787328915,49.23,66.21,16.979999999999997,16.979999999999997,6.310000000000002,2.980000000000004,0,0,1,0,1.43,0.6410773975810358,,6.6650792075933385,13.149999999999991,0.5860521356635265,2.12,,,,,2199322.755070765,2199322.7550707567,1.0000000000000038,2026-04-28 17:25:28.864080+00:00,,,,
1000BONKUSDT,2026-04-28 20:50:08.986813+00:00,kucoin,0.0062518,0.0062518,0.000214,783068.0,4895897.749600001,1.64,0.006294,0.006104,12389012.952,62.82,52.81,57.96,57.35,50.55,53.63,4980264.9364,-1.694,55.85333333333333,4.416852574703696,50.55,62.82,12.270000000000003,2.260000000000005,0.6099999999999994,5.469999999999999,0,0,0,0,1.64,0.31127655477825034,0.23320441238688816,-2.882273275224856,-13.399999999999991,0.5860521356635265,2.12,,,,,2199322.755070765,2199322.7550707567,1.0000000000000038,2026-04-28 21:50:08.986813+00:00,,,,
1000BONKUSDT,2026-04-29 00:08:01.591960+00:00,kucoin,0.006222,0.006222,-0.000106,789680.0,4915284.192,-0.1699999999999999,0.006294,0.006104,13522187.978,46.68,44.63,47.76,51.83,48.94,53.1,4933590.1524,-0.371,48.82333333333333,3.1828331195126554,44.63,53.1,8.469999999999999,-4.309999999999995,-4.07,-5.149999999999999,0,0,0,0,-0.1699999999999999,-0.4766627211363117,0.5743053588803988,0.8443711146413957,-8.18,0.5860521356635265,2.12,,,,,2199322.755070765,2199322.7550707567,1.0000000000000038,2026-04-29 01:08:01.591960+00:00,,,,
1000BONKUSDT,2026-04-29 07:53:25.898144+00:00,kucoin,0.006323,0.006323,0.000265,783260.0,4953806.196,2.52,0.006359,0.006104,14377165.03,49.69,54.85,59.31,62.25,54.34,55.53,5013984.765,-1.2,55.995000000000005,4.338975685573728,49.69,62.25,12.560000000000002,0.509999999999998,-2.9399999999999977,-12.560000000000002,0,0,0,0,2.52,1.6232722597235627,0.869613241249884,-0.8129875392564045,10.219999999999999,0.5860521356635265,2.12,,,,,2199322.755070765,2199322.7550707567,1.0000000000000038,2026-04-29 08:53:25.898144+00:00,,,,
1000BONKUSDT,2026-04-29 13:11:14.790397+00:00,kucoin,0.006338,0.006338,0.000453,929562.0,5898070.89,3.49,0.006535,0.006104,15419132.948,45.0,36.48,43.89,54.43,53.9,56.01,6138958.815,-3.924,48.285,7.725673433429606,36.48,56.01,19.53,-17.42,-10.54,-9.43,0,0,0,1,3.49,0.23722916337181044,0.7640045736919533,18.678599698695187,-18.370000000000005,0.5860521356635265,2.12,,,,,2199322.755070765,2199322.7550707567,1.0000000000000038,2026-04-29 14:11:14.790397+00:00,,,,
1000BONKUSDT,2026-04-29 18:05:39.799652+00:00,kucoin,0.0061714,0.0061714,-0.000372,981578.0,6045146.2708,-0.73,0.006535,0.006118,16342661.31,39.23,45.19,38.05,39.88,45.39,51.09,6023720.5014,0.356,43.13833333333334,4.985805518335696,38.05,51.09,13.040000000000006,-0.20000000000000284,-1.8300000000000054,-0.6500000000000057,0,0,1,0,-0.73,-2.628589460397601,1.4367744717980544,5.5957536990539625,8.71,0.5860521356635265,2.12,,,,,2199322.755070765,2199322.7550707567,1.0000000000000038,2026-04-29 19:05:39.799652+00:00,,,,
