symbol,scan_time,price,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_contracts,funding_rate,rsi_mean,rsi_std,rsi_min,rsi_max,rsi_range,rsi_divergence_5m_4h,rsi_divergence_15m_1h,rsi_divergence_1m_1h,n_tf_oversold,n_tf_overbought,price_momentum_24h,price_pct_change,price_rolling_std_6,oi_pct_change,rsi_5m_slope,cg_funding_oi_weighted_bps,cg_funding_spread_bps,cg_top_ls_ratio,cg_global_ls_ratio,cg_top_minus_global_ls,cg_taker_buy_sell_ratio,cg_liq_pull_up,cg_liq_pull_down,cg_liq_pull_ratio,orderbook_imb,cvd_avg,taker_buy_ratio,basis_bps,orderbook_bid_depth,orderbook_ask_depth,trade_count,target_time,future_scan_time,future_price,future_return_pct,label
1000BONKUSDT,2026-04-29 23:01:12.560132+00:00,0.006155,-1.36,0.006535,0.005979,16834953.398,,,,,,,5436908.46,-7.1e-05,,,,,,,,,0,0,-1.36,,,,,-1.6036795074404626,0.77,,,,,2178005.4324218254,2178005.4324218053,1.000000000000009,,,,,,,,2026-04-30 00:01:12.560132+00:00,,,,
1000BONKUSDT,2026-04-29 23:21:51.344441+00:00,0.0061517,-1.12,0.006535,0.005979,16842564.69,,,,,,,5403013.5032,-0.000121,,,,,,,,,0,0,-1.12,-0.05361494719738902,,-0.623423348937524,,-1.6036795074404626,0.77,,,,,2178005.4324218254,2178005.4324218053,1.000000000000009,,,,,,,,2026-04-30 00:21:51.344441+00:00,,,,
AAVEUSDT,2026-04-29 23:01:12.560132+00:00,93.51,-3.06,98.72,91.99,21702814.5982,37.81,40.84,44.99,36.99,40.73,44.51,9789146.7156,3.9e-05,40.97833333333333,3.3043027504553306,36.99,44.99,8.0,0.11000000000000654,8.0,0.8200000000000003,0,0,-3.06,,,,,0.8095503561432174,0.7000000000000001,2.12,,,,11585884.594464768,11585884.594464716,1.0000000000000044,-0.004385744839489483,80.22,0.7893521858317705,-6.106902943098895,1381533.2869999998,1393704.7729999996,100.0,2026-04-30 00:01:12.560132+00:00,,,,
AAVEUSDT,2026-04-29 23:21:51.344441+00:00,93.34,-3.36,98.72,91.99,21773420.8038,33.56,37.39,42.74,36.0,39.82,44.3,9774167.1716,3.2e-05,38.968333333333334,4.097064396206955,33.56,44.3,10.739999999999995,-2.4299999999999997,6.740000000000002,-2.4399999999999977,0,0,-3.36,-0.1817987381028785,,-0.15302195824821174,-3.450000000000003,0.8095503561432174,0.7000000000000001,2.12,,,,11585884.594464768,11585884.594464716,1.0000000000000044,-0.004385744839489483,80.22,0.7893521858317705,-6.106902943098895,1381533.2869999998,1393704.7729999996,100.0,2026-04-30 00:21:51.344441+00:00,,,,
ADAUSDT,2026-04-29 23:01:12.560132+00:00,0.24428,-0.99,0.25397,0.23826,29848822.0098,39.67,53.11,51.83,42.48,43.05,44.62,44012684.868,-0.000107,45.79333333333333,5.428645012032622,39.67,53.11,13.439999999999998,10.060000000000002,9.350000000000001,-2.809999999999995,0,0,-0.99,,,,,-1.557450310454442,1.2036124236119998,3.31,,,,31600749.638386764,31600749.63838669,1.0000000000000024,0.057046449229605514,124.42,0.9969643713053203,-1.640016400164504,14181.827070000001,12651.10365,100.0,2026-04-30 00:01:12.560132+00:00,,,,
ADAUSDT,2026-04-29 23:21:51.344441+00:00,0.24386,-1.18,0.25397,0.23826,30027816.2126,32.66,44.79,48.0,41.0,42.02,44.28,44209174.5576,-9.8e-05,42.125,5.236883615281134,32.66,48.0,15.340000000000003,2.769999999999996,7.0,-8.340000000000003,0,0,-1.18,-0.17193384640576959,,0.4464387714344209,-8.32,-1.557450310454442,1.2036124236119998,3.31,,,,31600749.638386764,31600749.63838669,1.0000000000000024,0.057046449229605514,124.42,0.9969643713053203,-1.640016400164504,14181.827070000001,12651.10365,100.0,2026-04-30 00:21:51.344441+00:00,,,,
AGTUSDT,2026-04-29 23:01:12.560132+00:00,0.020214,3.71,0.021781,0.01724,5073724.0252,,,,,,,2504332.674,0.000147,,,,,,,,,0,0,3.71,,,,,2.17,0.0,,,,,689964.5780000015,689964.5779999986,1.0000000000000042,,,,-2.95989344383727,,,,2026-04-30 00:01:12.560132+00:00,,,,
AGTUSDT,2026-04-29 23:21:51.344441+00:00,0.020194,2.34,0.021781,0.01724,5053276.6354,,,,,,,2490830.9494,0.000208,,,,,,,,,0,0,2.34,-0.09894132779261211,,-0.539134626169091,,2.17,0.0,,,,,689964.5780000015,689964.5779999986,1.0000000000000042,,,,-2.95989344383727,,,,2026-04-30 00:21:51.344441+00:00,,,,
AINUSDT,2026-04-29 23:01:12.560132+00:00,0.09373,7.399999999999999,0.09907,0.08572,22384375.405,,,,,,,3776109.883,-0.000695,,,,,,,,,0,0,7.399999999999999,,,,,-1.7896435582415666,4.2700000000000005,,,,,1920285.0434771462,1920285.043477145,1.0000000000000007,,,,10.682619378271857,,,,2026-04-30 00:01:12.560132+00:00,,,,
AINUSDT,2026-04-29 23:21:51.344441+00:00,0.09374,7.689999999999999,0.09907,0.08572,22428385.898,,,,,,,3719590.0764,-0.000417,,,,,,,,,0,0,7.689999999999999,0.01066894270778107,,-1.4967733554166696,,-1.7896435582415666,4.2700000000000005,,,,,1920285.0434771462,1920285.043477145,1.0000000000000007,,,,10.682619378271857,,,,2026-04-30 00:21:51.344441+00:00,,,,
