symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h,ml_prediction,ml_probability
BTCUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,76955.59,76955.59,1.7e-05,29137701,2242293528.71706,-1.38,79475.6,76452.0,655125557.393,62.27,56.5,48.02,36.11,44.04,58.44,2251586313.94242,-0.413,,
ETHUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,2291.64,2291.64,8e-06,31247064,716082716.2752,-3.0,2404.43,2265.41,446603757.288,65.92,55.59,49.08,35.36,42.06,51.66,744107166.8255999,-3.766,,
SOLUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,84.42,84.42,-7.9e-05,38251282,323020601.1054,-2.6100000000000003,88.092,83.611,152522547.09,73.96,62.45,49.28,35.86,39.05,47.59,326938882.7925,-1.198,,
XRPUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,1.39301,1.39301,2e-05,9985726,139127126.06759998,-2.17,1.44707,1.38354,95882152.9878,57.8,52.83,45.71,31.64,35.73,48.45,138961077.3408,0.119,,
SWARMSUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.02188,0.02188,-0.001759,31537247,6900349.6436,17.810000000000002,0.02724,0.01844,51070073.1042,45.45,46.57,36.01,50.0,57.48,68.96,5673720.3040000005,21.619,,
PEPEUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,3.8297e-06,3.8297e-06,0.000117,12260805,24433920.72264,-1.79,4.0273e-06,3.7656e-06,36382114.373176,64.29,61.27,54.02,46.28,48.0,54.96,24468588.306448,-0.142,,
ORCAUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,1.436,1.436,0.001518,9674782,13883312.17,3.6799999999999997,1.9682,1.1759,31076536.6414,26.79,33.9,40.4,49.99,56.54,84.07,14098415.8,-1.526,,
ZECUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,352.79,352.79,-3.1e-05,15787654,55698843.31200001,-1.2,364.8,349.26,30298386.5386,59.65,48.51,45.24,46.23,53.3,62.13,54608207.976,1.997,,
BSBUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.75284,0.75284,0.000147,899748,6769613.9772,1.68,0.94689,0.62787,28972647.3252,65.66,61.23,52.94,50.52,58.22,88.12,5737402.6123,17.991,,
HYPEUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,41.467,41.467,4.5e-05,16510381,68478456.23560001,-1.5,43.596,41.266,24673956.2984,64.85,46.65,40.41,37.57,47.96,53.0,67889592.4304,0.867,,
PRLUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.31126,0.31126,-0.004336,3013666,9373103.9932,41.33,0.36613,0.21512,23833395.1262,53.97,55.88,51.87,57.72,71.94,71.85,9113333.868800001,2.85,,
AINUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.08892,0.08892,0.001335,2344627,2085311.2538,12.49,0.09368,0.07682,21985957.243,45.12,47.14,46.98,58.8,77.1,65.29,2061701.2414000002,1.145,,
PENGUUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.009968,0.009968,1.5e-05,102493907,10252465.51721,11.28,0.010461,0.008811,21923274.54972,73.24,64.86,58.58,59.7,69.62,75.57,10288489.621199999,-0.35,,
DOGEUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.09821,0.09821,-1.9e-05,8062533,79206324.192,-0.73,0.10086,0.09693,20239051.876,70.7,65.96,57.35,48.67,51.49,56.62,79723184.47999999,-0.648,,
AGTUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.018809,0.018809,0.000109,1571998,2977364.212,-16.009999999999998,0.033963,0.01634,18162009.6572,55.64,50.45,57.0,52.28,56.36,58.82,3047629.718,-2.306,,
IDOLUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.02244,0.02244,-0.003965,648049,1454221.956,-3.54,0.0237,0.02223,17671893.408,55.29,59.23,54.3,44.59,42.02,46.73,1467894.648,-0.931,,
CHIPUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.07487,0.07487,-0.001778,1265437,9507228.181,0.09,0.08598,0.07048,17073090.914,46.97,49.76,53.11,51.16,49.18,,9812240.955,-3.108,,
ZBTUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.19265,0.19265,0.000109,3626287,7023755.2903,-23.61,0.26425,0.16352,16913674.5542,49.99,48.58,53.55,52.97,58.32,71.92,6952605.2057,1.023,,
USELESSUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.03955,0.03955,-0.000207,5459980,2161060.084,-2.48,0.04324,0.03841,16007827.6594,64.14,55.64,50.94,42.84,41.32,48.59,2277884.8077999996,-5.129,,
MUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,3.78358,3.78358,-0.000456,500593,18948696.5325,-11.39,4.37952,3.74634,15682543.9916,45.13,33.85,35.58,26.97,32.78,57.67,19026559.125,-0.409,,
RAVEUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.88983,0.88983,0.002278,3623577,32292231.1509,-2.59,0.9377,0.7752,15652289.8366,60.73,62.01,60.73,52.3,38.42,45.16,32404607.6879,-0.347,,
ADAUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.24603,0.24603,-0.000109,17375894,42748174.4188,-2.34,0.25613,0.243,15428068.0204,70.82,60.34,52.69,39.58,42.06,46.43,43197345.4338,-1.04,,
XMRUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,382.64,382.64,0.000222,7603269,29101512.0975,-2.93,395.79,377.01,13738551.5332,59.88,53.55,49.23,45.29,52.9,60.49,29293909.04,-0.657,,
VELVETUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.12003,0.12003,-0.00045,1652021,1983086.0084,16.03,0.1366,0.1031,11375525.1722,46.13,45.09,47.08,53.57,67.84,70.22,1977917.086,0.261,,
CROSSUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.10053,0.10053,-0.000139,868992,874292.8512,-11.64,0.11695,0.09659,11110419.0068,48.05,48.39,44.69,38.68,39.41,57.36,953373.3173,-8.295,,
CUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.07593,0.07593,0.000673,3207121,2439015.5205,-6.3100000000000005,0.08246,0.07499,11080116.4534,50.27,51.36,43.57,34.41,39.66,49.91,2433416.7195,0.23,,
SUIUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.9258,0.9258,-0.0001,81789887,75794688.28289999,-1.96,0.9639,0.9131,10595493.3914,70.14,62.9,53.3,42.67,42.06,47.26,75627721.9638,0.221,,
LDOUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.3987,0.3987,-0.000258,185058364,7389380.474520001,-8.35,0.4646,0.3803,10481393.43168,61.6,53.04,54.76,48.36,51.62,56.32,7451551.604309999,-0.834,,
FILUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.9118,0.9118,2e-05,109824735,10020408.8214,-3.49,0.958,0.8989,10321966.94596,56.7,54.23,48.57,36.03,40.11,49.24,10086271.60152,-0.653,,
AAVEUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,96.92,96.92,-1.2e-05,11992344,11628975.9768,0.11,100.82,95.18,10102994.502,75.68,72.79,58.78,53.26,54.63,48.35,11659079.343600001,-0.258,,
TACUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.010604,0.010604,-0.00116,7027382,7451133.1345999995,18.93,0.011238,0.00885,10067038.989,53.93,59.23,56.9,68.51,69.18,87.41,7459612.3537,-0.114,,
RIVERUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,6.723,6.723,0.000792,5497579,36976716.354,0.8999999999999999,6.871,6.291,9979367.254,59.0,59.1,60.28,60.85,57.31,39.63,36989643.726,-0.035,,
TAOUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,246.83,246.83,-2.8e-05,10246883,25302628.1919,-1.28,257.0,244.3,9428547.882,68.31,59.38,49.62,43.82,47.85,43.2,26059760.019300003,-2.905,,
VIRTUALUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.6915,0.6915,2.2e-05,5114993,3538040.6581,-2.5100000000000002,0.7387,0.6788,9206924.2164,70.73,63.67,53.65,42.31,45.7,50.56,3594044.1486,-1.558,,
GIGGLEUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,35.18,35.18,0.000248,8654587,3046414.6240000003,3.55,36.6,32.33,8769157.3724,60.82,53.38,58.17,58.32,53.4,53.64,3123428.7040000004,-2.466,,
LUNCUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,6.5896e-05,6.5896e-05,-0.000485,75356557,4951076.508014,13.56,6.59e-05,5.6841e-05,8748354.079712,54.45,68.46,69.46,70.03,78.04,80.68,5076451.495388,-2.47,,
